date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2026-02-27,2026-03-02,1,Friday,09:30,11:00,25508.5,25500,25500,0.033,-0.261,0.415,0.634,15.58,60.4,181.0,241.4,41.25,228.35,269.6,-28.2,-2115.0,-2315.0,-98511.0,-90511.0,-90851.0
2026-02-27,2026-03-02,1,Friday,09:30,12:00,25508.5,25500,25500,0.033,-0.261,0.415,0.634,15.58,60.4,181.0,241.4,40.75,223.55,264.3,-22.9,-1718.0,-1918.0,-81596.0,-73596.0,-73936.0
2026-02-27,2026-03-02,1,Friday,09:30,13:00,25508.5,25500,25500,0.033,-0.261,0.415,0.634,15.58,60.4,181.0,241.4,35.7,246.85,282.55,-41.15,-3086.0,-3286.0,-139840.0,-131840.0,-132181.0
2026-02-27,2026-03-02,1,Friday,09:30,15:25,25508.5,25500,25500,0.033,-0.261,0.415,0.634,15.58,60.4,181.0,241.4,24.5,312.4,336.9,-95.5,-7162.0,-7362.0,-313298.0,-305298.0,-305638.0
2026-02-27,2026-03-02,1,Friday,10:00,11:00,25470.0,25450,25500,0.118,-0.261,0.415,0.634,15.58,62.95,169.5,232.45,54.65,191.7,246.35,-13.9,-1043.0,-1243.0,-52872.0,-44872.0,-45213.0
2026-02-27,2026-03-02,1,Friday,10:00,12:00,25470.0,25450,25500,0.118,-0.261,0.415,0.634,15.58,62.95,169.5,232.45,53.7,186.95,240.65,-8.2,-615.0,-815.0,-34681.0,-26681.0,-27021.0
2026-02-27,2026-03-02,1,Friday,10:00,13:00,25470.0,25450,25500,0.118,-0.261,0.415,0.634,15.58,62.95,169.5,232.45,47.0,206.85,253.85,-21.4,-1605.0,-1805.0,-76809.0,-68809.0,-69149.0
2026-02-27,2026-03-02,1,Friday,10:00,15:25,25470.0,25450,25500,0.118,-0.261,0.415,0.634,15.58,62.95,169.5,232.45,30.35,269.3,299.65,-67.2,-5040.0,-5240.0,-222979.0,-214979.0,-215319.0
2026-02-27,2026-03-02,1,Friday,10:30,11:00,25457.0,25450,25500,0.169,-0.261,0.415,0.634,15.58,59.05,183.9,242.95,54.65,191.7,246.35,-3.4,-255.0,-455.0,-19362.0,-11362.0,-11702.0
2026-02-27,2026-03-02,1,Friday,10:30,12:00,25457.0,25450,25500,0.169,-0.261,0.415,0.634,15.58,59.05,183.9,242.95,53.7,186.95,240.65,2.3,173.0,-27.0,-1170.0,6830.0,6489.0
2026-02-27,2026-03-02,1,Friday,10:30,13:00,25457.0,25450,25500,0.169,-0.261,0.415,0.634,15.58,59.05,183.9,242.95,47.0,206.85,253.85,-10.9,-818.0,-1018.0,-43298.0,-35298.0,-35638.0
2026-02-27,2026-03-02,1,Friday,10:30,15:25,25457.0,25450,25500,0.169,-0.261,0.415,0.634,15.58,59.05,183.9,242.95,30.35,269.3,299.65,-56.7,-4253.0,-4453.0,-189468.0,-181468.0,-181809.0
2026-03-09,2026-03-10,1,Monday,09:30,11:00,23873.8,23850,25000,4.717,-2.932,0.105,1.051,14.7,199.9,252.5,452.4,224.35,191.0,415.35,37.05,2779.0,2579.0,109734.0,117734.0,117394.0
2026-03-09,2026-03-10,1,Monday,09:30,12:00,23873.8,23850,25000,4.717,-2.932,0.105,1.051,14.7,199.9,252.5,452.4,226.0,182.1,408.1,44.3,3322.0,3122.0,132872.0,140872.0,140532.0
2026-03-09,2026-03-10,1,Monday,09:30,13:00,23873.8,23850,25000,4.717,-2.932,0.105,1.051,14.7,199.9,252.5,452.4,247.65,183.05,430.7,21.7,1627.0,1427.0,60745.0,68745.0,68404.0
2026-03-09,2026-03-10,1,Monday,09:30,15:25,23873.8,23850,25000,4.717,-2.932,0.105,1.051,14.7,199.9,252.5,452.4,296.0,126.9,422.9,29.5,2212.0,2012.0,85638.0,93638.0,93298.0
2026-03-09,2026-03-10,1,Monday,10:00,11:00,23862.0,23850,25000,4.769,-2.932,0.105,1.051,14.7,187.05,255.95,443.0,224.35,191.0,415.35,27.65,2074.0,1874.0,79734.0,87734.0,87394.0
2026-03-09,2026-03-10,1,Monday,10:00,12:00,23862.0,23850,25000,4.769,-2.932,0.105,1.051,14.7,187.05,255.95,443.0,226.0,182.1,408.1,34.9,2617.0,2417.0,102872.0,110872.0,110532.0
2026-03-09,2026-03-10,1,Monday,10:00,13:00,23862.0,23850,25000,4.769,-2.932,0.105,1.051,14.7,187.05,255.95,443.0,247.65,183.05,430.7,12.3,922.0,722.0,30745.0,38745.0,38404.0
2026-03-09,2026-03-10,1,Monday,10:00,15:25,23862.0,23850,25000,4.769,-2.932,0.105,1.051,14.7,187.05,255.95,443.0,296.0,126.9,422.9,20.1,1508.0,1308.0,55638.0,63638.0,63298.0
2026-03-09,2026-03-10,1,Monday,10:30,11:00,23864.4,23850,25000,4.759,-2.932,0.105,1.051,14.7,176.6,242.0,418.6,224.35,191.0,415.35,3.25,244.0,44.0,1862.0,9862.0,9521.0
